protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
O46406,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q29437,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
O08590,True,,10116,Extracellular space,,Swiss-Prot,0
P49822,True,,9615,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q02589,True,,10116,Extracellular space,,Swiss-Prot,0
Q55DU1,True,,44689,Extracellular matrix,,Swiss-Prot,0
P05095,True,,44689,Extracellular matrix,,Swiss-Prot,0
Q6AY33,True,,10116,Extracellular region,,Swiss-Prot,0
Q29016,True,,9823,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q3V140,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q54XS2,True,,44689,Extracellular matrix,,Swiss-Prot,0
Q28757,True,,9940,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q28748,True,,9986,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P79307,True,,9823,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q28280,True,,9615,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q28053,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q7SIH1,True,ECM Regulators|Matrisome-associated,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P53369,True,,10116,Extracellular space,,Swiss-Prot,0
P53368,True,,10090,Extracellular space,,Swiss-Prot,0
Q28065,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q63514,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q28066,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A2VE00,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6AY64,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q9DAY5,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6NZZ3,True,,7955,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q5ZLK8,True,,9031,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A2VDZ5,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q9TTS6,True,Secreted Factors|Matrisome-associated,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P01355,True,,10116,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P01356,True,,9823,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P09240,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9PU41,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q55DL1,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q63515,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9WVJ3,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q17QK3,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
A1E295,True,,9823,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P43233,True,ECM Regulators|Matrisome-associated,9031,Extracellular space,,Swiss-Prot,0
P07688,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9JI81,True,ECM Regulators|Matrisome-associated,10090,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
D3ZZ07,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q91ZF2,True,ECM Regulators|Matrisome-associated,10090,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P02669,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P25230,True,,9986,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q30KM9,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6TU36,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P07352,True,Secreted Factors|Matrisome-associated,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q02596,True,,10090,Extracellular region,,Swiss-Prot,0
P0DP07,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
